trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-33.83713859654125,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-307.89395202695,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-50.61298140262096,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-56.938676702089744,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-68.17746059078297,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-147.89671231511505,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,2,-113.05234539889109,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-110.27099241979164,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-182.77283014320642,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-101.86877148752421,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,6,-6.558394510018645,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-79.09282621769563,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,7,-22.80918411082156,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-132.9236165908103,"{0: 18, 1: 1, 2: 1, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-61.484868499214244,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-75.05809538825359,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-57.42714758255309,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-44.81288110039078,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-8.246349847374136,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",25,12,-23.675591815697707,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,20,3.7670464638368646,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-46.85465387420277,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,27.684941994324188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,15.380670249323558,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,15,18.179272013253563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,34.49181225427743,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,11,11.676650866204332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,8,4.037617778556832,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-74.7381056741893,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-39.17014120458421,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
