trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-8.393513497952204,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-172.03418633021113,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-162.65825063656405,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",25,0,-67.9158672448192,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",25,0,-133.00131653149063,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,0,-67.84403073089432,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",25,0,-121.82396857489512,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",20,0,-52.76578747993717,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",25,0,-139.0210453650096,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-24.547794507862175,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-71.30092257864004,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-63.81639068322588,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
